"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle","branch","","","","","","High-level vehicle data.","","","","ccc825f94139544dbb5f4bfd033bece6"
"Vehicle.VersionVSS","branch","","","","","","Supported Version of VSS.","","","","9a687e56f1305eedb20f6a021ea58f48"
"Vehicle.VersionVSS.Major","attribute","uint32","","","","","Supported Version of VSS - Major version.","","","4","5edf1a338c975cbb84d4ce3cfe1aa4b4"
"Vehicle.VersionVSS.Minor","attribute","uint32","","","","","Supported Version of VSS - Minor version.","","","1","6e70a598dbc7534c96c58c18e9888cfd"
"Vehicle.VersionVSS.Patch","attribute","uint32","","","","","Supported Version of VSS - Patch version.","","","0","69858f224af459338b9bfbff436dda45"
"Vehicle.VersionVSS.Label","attribute","string","","","","","Label to further describe the version.","COVESA VSS project typically use dev for latest master, and empty string for released versions.","","","7c92cd50d24b5662922b27cb9a327e53"
"Vehicle.VehicleIdentification","branch","","","","","","Attributes that identify a vehicle.","","","","c33861c3e9125208b05f23fe922bf08e"
"Vehicle.VehicleIdentification.VIN","attribute","string","","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779.","","","","6f0b6fa8c34f589baa92e565bc9df5bd"
"Vehicle.VehicleIdentification.WMI","attribute","string","","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780.","","","","e7c86defbcd554a79f90ba85de58e133"
"Vehicle.VehicleIdentification.Brand","attribute","string","","","","","Vehicle brand or manufacturer.","","","","19fd645ff5385767bcdbf5dd4313483f"
"Vehicle.VehicleIdentification.Model","attribute","string","","","","","Vehicle model.","","","","dd3d3b72e6a85b3695ba25f829255403"
"Vehicle.VehicleIdentification.Year","attribute","uint16","","","","","Model year of the vehicle.","","","","9a76b0aca8e45f6fb33dbaf5b976b8b5"
"Vehicle.VehicleIdentification.AcrissCode","attribute","string","","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","","115a821e8e0b57f08e4b9e61e85d7156"
"Vehicle.VehicleIdentification.BodyType","attribute","string","","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","","e6d5c71ecec95d68b0b59bb7e93af759"
"Vehicle.VehicleIdentification.DateVehicleFirstRegistered","attribute","string","","iso8601","","","The date in ISO 8601 format of the first registration of the vehicle with the respective public authorities.","","","","046f47acf62e50bd863d6568d73743d7"
"Vehicle.VehicleIdentification.LicensePlate","attribute","string","","","","","The license plate of the vehicle.","Depending on the context, this attribute might not be up to date or might be misconfigured, and therefore should be considered untrustworthy in the absence of another method of verification.","","","81ddd35883995a61a5fb71e26d31adaa"
"Vehicle.VehicleIdentification.MeetsEmissionStandard","attribute","string","","","","","Indicates that the vehicle meets the respective emission standard.","","","","d75dedbfadca54d8b6c7261c37ad5d83"
"Vehicle.VehicleIdentification.ProductionDate","attribute","string","","iso8601","","","The date in ISO 8601 format of production of the item, e.g. vehicle.","","","","5683877c4bac504d915b268c9476c190"
"Vehicle.VehicleIdentification.PurchaseDate","attribute","string","","iso8601","","","The date in ISO 8601 format of the item e.g. vehicle was purchased by the current owner.","","","","31302f8b57e85c4197afda3e3201fce8"
"Vehicle.VehicleIdentification.VehicleModelDate","attribute","string","","iso8601","","","The release date in ISO 8601 format of a vehicle model (often used to differentiate versions of the same make and model).","","","","c71b63f83dea536bac58e62bbe537f11"
"Vehicle.VehicleIdentification.VehicleConfiguration","attribute","string","","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","","2526c7ba4c8458c78000a9e5f2fe89d5"
"Vehicle.VehicleIdentification.VehicleSeatingCapacity","attribute","uint16","","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","","7ae5db0e0482555686b9be71dd8a0c38"
"Vehicle.VehicleIdentification.VehicleSpecialUsage","attribute","string","","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","","7e6e8a48f54a5549a8f6af8f1dc5eb8d"
"Vehicle.VehicleIdentification.VehicleExteriorColor","attribute","string","","","","","The main color of the exterior within the basic color palette (eg. red, blue, black, white, ...).","","","","07c48d164c615369b87ccc2920edf802"
"Vehicle.VehicleIdentification.VehicleInteriorColor","attribute","string","","","","","The color or color combination of the interior of the vehicle.","","","","67a8b069b8bf573993d51959c24f04e2"
"Vehicle.VehicleIdentification.VehicleInteriorType","attribute","string","","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","","4c4eed302b2e51daa9b6f5f398987a77"
"Vehicle.VehicleIdentification.KnownVehicleDamages","attribute","string","","","","","A textual description of known damages, both repaired and unrepaired.","","","","e87f352cddb15e94b340506b17207586"
"Vehicle.VehicleIdentification.OptionalExtras","attribute","string[]","","","","","Optional extras refers to all car equipment options that are not installed as standard by the manufacturer.","Allowed values are not standardized, each OEM can specify detail descriptions of array elements.","","","d9ecc64b0c995595967e05009d6fc1b9"
"Vehicle.LowVoltageSystemState","sensor","string","","","","","State of the supply voltage of the control units (usually 12V).","","['UNDEFINED', 'LOCK', 'OFF', 'ACC', 'ON', 'START']","","d7391ceb132e5519b02d4c13d5513d99"
"Vehicle.LowVoltageBattery","branch","","","","","","Signals related to low voltage battery.","","","","ab8c5816d44f55b68f6e1d6d9e5acb0b"
"Vehicle.LowVoltageBattery.NominalVoltage","attribute","uint16","","V","","","Nominal Voltage of the battery.","Nominal voltage typically refers to voltage of fully charged battery when delivering rated capacity.","","","bd5d4b6ee33f507fb49782505c3040e0"
"Vehicle.LowVoltageBattery.NominalCapacity","attribute","uint16","","Ah","","","Nominal capacity of the low voltage battery.","","","","d9f32612cb2f58d3b863a0dae21ff7af"
"Vehicle.LowVoltageBattery.CurrentVoltage","sensor","float","","V","","","Current Voltage of the low voltage battery.","","","","1394234e8b975a279959ae82e03df786"
"Vehicle.LowVoltageBattery.CurrentCurrent","sensor","float","","A","","","Current current flowing in/out of the low voltage battery. Positive = Current flowing in to battery, e.g. during charging or driving. Negative = Current flowing out of battery, e.g. when using the battery to start a combustion engine.","","","","e1d76e489d505b03ace30771ba4291b1"
"Vehicle.Speed","sensor","float","","km/h","","","Vehicle speed.","","","","efe50798638d55fab18ab7d43cc490e9"
"Vehicle.TraveledDistance","sensor","float","","km","","","Odometer reading, total distance traveled during the lifetime of the vehicle.","","","","32c3c3585f105d8aa5566ef5a038a741"
